,Method,Subject,Accelorometer Axis,Average Degree,Network Diameter,Average Path Length,Activity,Body Part
66,NVG,3,x,11.11132812,9,4.097856717,Climbing Down,chest
67,HVG,3,x,3.958984375,36,14.91627719,Climbing Down,chest
68,NVG,3,y,16.359375,16,6.820121579,Climbing Down,chest
69,HVG,3,y,3.93359375,34,15.00161901,Climbing Down,chest
70,NVG,3,z,8.501953125,9,4.644999007,Climbing Down,chest
71,HVG,3,z,3.939453125,38,11.9157006,Climbing Down,chest
72,NVG,4,x,10.38867187,11,4.395203293,Walking,chest
73,HVG,4,x,3.9609375,23,10.20735391,Walking,chest
74,NVG,4,y,15.79101563,9,4.41607672,Walking,chest
75,HVG,4,y,3.95703125,28,12.20033564,Walking,chest
76,NVG,4,z,8.38671875,10,4.728385799,Walking,chest
77,HVG,4,z,3.951171875,22,8.03204996,Walking,chest
78,NVG,4,x,9.513671875,9,4.435791254,Running,chest
79,HVG,4,x,3.97265625,21,9.295996762,Running,chest
80,NVG,4,y,9.38671875,236,79.74828171,Running,chest
81,HVG,4,y,3.5234375,245,82.48733619,Running,chest
82,NVG,4,z,6.41796875,11,5.27991546,Running,chest
83,HVG,4,z,3.95703125,20,8.939978159,Running,chest
84,NVG,4,x,10.234375,11,4.773550144,Climbing Up,chest
85,HVG,4,x,3.94921875,26,11.19127261,Climbing Up,chest
86,NVG,4,y,15.28515625,9,4.373193884,Climbing Up,chest
87,HVG,4,y,3.9375,35,15.04383744,Climbing Up,chest
88,NVG,4,z,8.845703125,13,5.894193319,Climbing Up,chest
89,HVG,4,z,3.955078125,35,14.05363171,Climbing Up,chest
90,NVG,4,x,9.732421875,10,4.482765533,Climbing Down,chest
91,HVG,4,x,3.955078125,30,13.0399751,Climbing Down,chest
92,NVG,4,y,14.2734375,13,4.935258584,Climbing Down,chest
93,HVG,4,y,3.958984375,29,12.70227158,Climbing Down,chest
94,NVG,4,z,8.904296875,8,4.437076155,Climbing Down,chest
95,HVG,4,z,3.96875,28,11.0224008,Climbing Down,chest
96,NVG,5,x,9.587890625,9,4.722381323,Walking,chest
97,HVG,5,x,3.9609375,25,11.5299861,Walking,chest
98,NVG,5,y,11.39453125,10,4.682856794,Walking,chest
99,HVG,5,y,3.947265625,25,10.64318716,Walking,chest
100,NVG,5,z,7.23828125,9,4.580206042,Walking,chest
101,HVG,5,z,3.966796875,23,9.234525828,Walking,chest
102,NVG,5,x,7.873046875,9,5.063609253,Running,chest
103,HVG,5,x,3.970703125,20,9.357372235,Running,chest
104,NVG,5,y,8.517578125,94,34.0258832,Running,chest
105,HVG,5,y,3.81640625,97,35.47278035,Running,chest
106,NVG,5,z,7.078125,9,4.563832631,Running,chest
107,HVG,5,z,3.96875,19,8.390523812,Running,chest
108,NVG,5,x,10.515625,13,4.784902325,Climbing Up,chest
109,HVG,5,x,3.923828125,42,12.38087465,Climbing Up,chest
110,NVG,5,y,14.4296875,12,4.337911626,Climbing Up,chest
111,HVG,5,y,3.9609375,29,12.39897972,Climbing Up,chest
112,NVG,5,z,9.552734375,10,4.670624465,Climbing Up,chest
113,HVG,5,z,3.939453125,33,12.80318686,Climbing Up,chest
114,NVG,5,x,9.5390625,8,4.29507843,Climbing Down,chest
115,HVG,5,x,3.92578125,44,19.60109665,Climbing Down,chest
116,NVG,5,y,14.26953125,8,4.124675434,Climbing Down,chest
117,HVG,5,y,3.96875,26,12.44598072,Climbing Down,chest
118,NVG,5,z,9.32421875,11,4.451729365,Climbing Down,chest
119,HVG,5,z,3.955078125,25,10.67201628,Climbing Down,chest
120,NVG,6,x,12.28515625,11,4.388501955,Walking,chest
121,HVG,6,x,3.953125,25,12.2978067,Walking,chest
122,NVG,6,y,14.61523437,10,4.898714336,Walking,chest
123,HVG,6,y,3.947265625,33,13.96235986,Walking,chest
124,NVG,6,z,10.08398438,14,5.380634088,Walking,chest
125,HVG,6,z,3.951171875,31,14.37055535,Walking,chest
126,NVG,6,x,9.9765625,14,5.939067464,Running,chest
127,HVG,6,x,3.95703125,27,12.72874664,Running,chest
128,NVG,6,y,10.5703125,128,44.01627795,Running,chest
129,HVG,6,y,3.740234375,136,47.91934911,Running,chest
130,NVG,6,z,8.814453125,13,5.239814348,Running,chest
131,HVG,6,z,3.94921875,30,11.55003857,Running,chest
132,NVG,6,x,13.50976563,9,4.209383401,Climbing Up,chest
133,HVG,6,x,3.955078125,32,13.88796165,Climbing Up,chest
134,NVG,6,y,12.92578125,8,4.364419141,Climbing Up,chest
135,HVG,6,y,3.96875,29,11.99589519,Climbing Up,chest
136,NVG,6,z,10.58398437,10,5.075895039,Climbing Up,chest
137,HVG,6,z,3.947265625,32,13.94555306,Climbing Up,chest
138,NVG,6,x,12.27539063,10,4.473645222,Climbing Down,chest
139,HVG,6,x,3.947265625,31,13.65711869,Climbing Down,chest
140,NVG,6,y,14.35351562,20,7.502579347,Climbing Down,chest
141,HVG,6,y,3.939453125,37,14.59447932,Climbing Down,chest
142,NVG,6,z,10.47070312,9,4.071837961,Climbing Down,chest
143,HVG,6,z,3.955078125,30,12.03196023,Climbing Down,chest
144,NVG,7,x,11.03125,13,4.629404555,Walking,chest
145,HVG,7,x,3.94921875,27,12.87114339,Walking,chest
146,NVG,7,y,11.38476562,8,4.82839229,Walking,chest
147,HVG,7,y,3.970703125,22,10.27639487,Walking,chest
148,NVG,7,z,7.44140625,10,4.637068136,Walking,chest
149,HVG,7,z,3.97265625,17,7.92765037,Walking,chest
150,NVG,7,x,10.93945313,11,4.522414162,Running,chest
151,HVG,7,x,3.970703125,21,9.334662146,Running,chest
152,NVG,7,y,12.66210938,169,56.85562912,Running,chest
153,HVG,7,y,3.65625,175,60.50805688,Running,chest
154,NVG,7,z,7.81640625,18,7.043293316,Running,chest
155,HVG,7,z,3.953125,25,8.784066089,Running,chest
156,NVG,7,x,13.45507812,15,4.929903241,Climbing Up,chest
157,HVG,7,x,3.939453125,31,14.4426606,Climbing Up,chest
158,NVG,7,y,13.66992188,9,4.634767534,Climbing Up,chest
159,HVG,7,y,3.96484375,28,12.14997633,Climbing Up,chest
160,NVG,7,z,9.17578125,10,4.902135646,Climbing Up,chest
161,HVG,7,z,3.953125,26,10.38514174,Climbing Up,chest
162,NVG,7,x,9.37109375,10,4.432810973,Climbing Down,chest
163,HVG,7,x,3.970703125,27,11.43160817,Climbing Down,chest
164,NVG,7,y,12.13476562,11,5.041773583,Climbing Down,chest
165,HVG,7,y,3.9453125,28,12.21945068,Climbing Down,chest
166,NVG,7,z,7.587890625,10,4.608504399,Climbing Down,chest
167,HVG,7,z,3.96875,21,9.112149087,Climbing Down,chest
168,NVG,8,x,11.93554688,10,4.813775354,Walking,chest
169,HVG,8,x,3.97265625,29,13.33171432,Walking,chest
170,NVG,8,y,12.66601562,9,4.659575849,Walking,chest
171,HVG,8,y,3.97265625,30,13.05732412,Walking,chest
172,NVG,8,z,11.10546875,10,4.657599814,Walking,chest
173,HVG,8,z,3.9453125,28,10.89485773,Walking,chest
174,NVG,8,x,9.08984375,9,4.624751802,Running,chest
175,HVG,8,x,3.828125,32,10.30414337,Running,chest
176,NVG,8,y,10.88085938,8,4.323560071,Running,chest
177,HVG,8,y,3.95703125,25,8.795383905,Running,chest
178,NVG,8,z,7.404296875,8,4.254427465,Running,chest
179,HVG,8,z,3.95703125,23,7.423952224,Running,chest
180,NVG,8,x,10.61328125,12,4.95693388,Climbing Up,chest
181,HVG,8,x,3.943359375,33,14.44817059,Climbing Up,chest
182,NVG,8,y,10.69335938,12,5.0977288,Climbing Up,chest
183,HVG,8,y,3.943359375,30,12.54182513,Climbing Up,chest
184,NVG,8,z,9.216796875,15,5.051042812,Climbing Up,chest
185,HVG,8,z,3.9375,36,12.13237529,Climbing Up,chest
186,NVG,8,x,11.0078125,9,4.415242394,Climbing Down,chest
187,HVG,8,x,3.927734375,34,14.06412092,Climbing Down,chest
188,NVG,8,y,10.48828125,10,4.424064867,Climbing Down,chest
189,HVG,8,y,3.966796875,24,9.983786962,Climbing Down,chest
190,NVG,8,z,9.00390625,10,4.709454041,Climbing Down,chest
191,HVG,8,z,3.96875,26,10.16699696,Climbing Down,chest
192,NVG,9,x,11.78125,10,4.39962694,Walking,chest
193,HVG,9,x,3.958984375,23,11.26565555,Walking,chest
194,NVG,9,y,13.79492188,13,5.217516648,Walking,chest
195,HVG,9,y,3.9453125,30,12.91407586,Walking,chest
196,NVG,9,z,8.822265625,10,4.859844666,Walking,chest
197,HVG,9,z,3.953125,23,8.593123778,Walking,chest
198,NVG,9,x,8.453125,11,4.826259699,Running,chest
199,HVG,9,x,3.97265625,22,9.666473836,Running,chest
200,NVG,9,y,9.09765625,224,76.72292927,Running,chest
201,HVG,9,y,3.552734375,233,79.58546974,Running,chest
202,NVG,9,z,7.732421875,9,4.549656723,Running,chest
203,HVG,9,z,3.9765625,18,8.065917491,Running,chest
204,NVG,9,x,12.04101563,13,4.655446221,Climbing Up,chest
205,HVG,9,x,3.9453125,28,12.81996311,Climbing Up,chest
206,NVG,9,y,16.03515625,11,4.519979915,Climbing Up,chest
207,HVG,9,y,3.955078125,31,13.03075742,Climbing Up,chest
208,NVG,9,z,9.24609375,12,5.073218322,Climbing Up,chest
209,HVG,9,z,3.935546875,33,12.53382744,Climbing Up,chest
210,NVG,9,x,10.02539063,11,4.790267213,Climbing Down,chest
211,HVG,9,x,3.955078125,26,11.02213542,Climbing Down,chest
212,NVG,9,y,15.62695312,19,7.298276362,Climbing Down,chest
213,HVG,9,y,3.95703125,33,14.64759172,Climbing Down,chest
214,NVG,9,z,8.775390625,11,4.639370647,Climbing Down,chest
215,HVG,9,z,3.9375,32,13.0613812,Climbing Down,chest
216,NVG,10,x,9.533203125,11,4.457285175,Walking,chest
217,HVG,10,x,3.939453125,28,11.34501581,Walking,chest
218,NVG,10,y,12.51367187,11,4.917132515,Walking,chest
219,HVG,10,y,3.95703125,31,12.85201498,Walking,chest
220,NVG,10,z,7.193359375,13,5.153869211,Walking,chest
221,HVG,10,z,3.955078125,21,8.608666682,Walking,chest
222,NVG,10,x,8.13671875,13,5.008146612,Running,chest
223,HVG,10,x,3.958984375,27,9.149516205,Running,chest
224,NVG,10,y,9.08984375,177,58.98709181,Running,chest
225,HVG,10,y,3.638671875,185,61.65712442,Running,chest
226,NVG,10,z,6.75,11,5.078401836,Running,chest
227,HVG,10,z,3.98046875,19,7.561178825,Running,chest
228,NVG,10,x,11.87109375,9,4.774781586,Climbing Up,chest
229,HVG,10,x,3.943359375,28,13.38564195,Climbing Up,chest
230,NVG,10,y,13.9453125,9,4.509418148,Climbing Up,chest
231,HVG,10,y,3.94921875,32,14.67041636,Climbing Up,chest
232,NVG,10,z,10.42382812,11,4.859378818,Climbing Up,chest
233,HVG,10,z,3.951171875,29,12.446059,Climbing Up,chest
234,NVG,10,x,9.802734375,10,4.45649667,Climbing Down,chest
235,HVG,10,x,3.955078125,27,11.62879552,Climbing Down,chest
236,NVG,10,y,12.43945313,49,18.89641946,Climbing Down,chest
237,HVG,10,y,3.89453125,60,23.67107122,Climbing Down,chest
238,NVG,10,z,8.283203125,11,4.710192907,Climbing Down,chest
239,HVG,10,z,3.951171875,25,10.09834166,Climbing Down,chest
240,NVG,11,x,12.5078125,10,4.533548693,Walking,chest
241,HVG,11,x,3.966796875,27,12.41837159,Walking,chest
242,NVG,11,y,14.50585938,9,4.62378765,Walking,chest
243,HVG,11,y,3.955078125,32,13.53762868,Walking,chest
244,NVG,11,z,9.697265625,12,4.703453385,Walking,chest
245,HVG,11,z,3.9453125,30,9.67476173,Walking,chest
246,NVG,11,x,9.326171875,9,4.730621487,Running,chest
247,HVG,11,x,3.978515625,22,9.878222752,Running,chest
248,NVG,11,y,10.34960937,53,18.17638838,Running,chest
249,HVG,11,y,3.873046875,63,21.09572222,Running,chest
250,NVG,11,z,9.41796875,8,4.185216581,Running,chest
251,HVG,11,z,3.966796875,18,7.627800816,Running,chest
252,NVG,11,x,12.97265625,8,4.17592635,Climbing Up,chest
253,HVG,11,x,3.955078125,27,11.78150774,Climbing Up,chest
254,NVG,11,y,15.65429688,9,4.171309873,Climbing Up,chest
255,HVG,11,y,3.9609375,29,12.29356252,Climbing Up,chest
256,NVG,11,z,11.1796875,9,4.487727578,Climbing Up,chest
257,HVG,11,z,3.947265625,32,14.61341489,Climbing Up,chest
258,NVG,11,x,12.06835938,11,4.867832814,Climbing Down,chest
259,HVG,11,x,3.912109375,43,18.74360032,Climbing Down,chest
260,NVG,11,y,14.79492188,11,4.511134531,Climbing Down,chest
261,HVG,11,y,3.939453125,33,13.152044,Climbing Down,chest
262,NVG,11,z,10.390625,10,4.615820503,Climbing Down,chest
263,HVG,11,z,3.95703125,37,13.9087988,Climbing Down,chest
264,NVG,12,x,13.01757813,8,4.035580095,Walking,chest
265,HVG,12,x,3.96484375,24,11.65631873,Walking,chest
266,NVG,12,y,13.12890625,9,4.859266175,Walking,chest
267,HVG,12,y,3.96875,32,13.04060323,Walking,chest
268,NVG,12,z,9.75390625,9,4.674124053,Walking,chest
269,HVG,12,z,3.958984375,19,10.0941433,Walking,chest
270,NVG,12,x,8.927734375,8,4.401914177,Running,chest
271,HVG,12,x,3.984375,19,8.630634088,Running,chest
272,NVG,12,y,9.119140625,234,79.56186041,Running,chest
273,HVG,12,y,3.5390625,240,82.60320824,Running,chest
274,NVG,12,z,6.3671875,11,5.192393313,Running,chest
275,HVG,12,z,3.974609375,18,8.146169355,Running,chest
276,NVG,12,x,12.20703125,10,4.515947657,Climbing Up,chest
277,HVG,12,x,3.953125,26,11.45446909,Climbing Up,chest
278,NVG,12,y,14.09960938,11,4.478920378,Climbing Up,chest
279,HVG,12,y,3.935546875,39,13.3240641,Climbing Up,chest
280,NVG,12,z,9.603515625,11,4.668415506,Climbing Up,chest
281,HVG,12,z,3.943359375,29,11.49473248,Climbing Up,chest
282,NVG,12,x,10.91210938,10,4.492374603,Climbing Down,chest
283,HVG,12,x,3.96484375,29,12.37931482,Climbing Down,chest
284,NVG,12,y,13.33789063,11,5.029936461,Climbing Down,chest
285,HVG,12,y,3.95703125,30,12.68246922,Climbing Down,chest
286,NVG,12,z,9.0703125,9,4.678064669,Climbing Down,chest
287,HVG,12,z,3.962890625,34,13.00513196,Climbing Down,chest
288,NVG,13,x,12.75195312,12,5.077697336,Walking,chest
289,HVG,13,x,3.931640625,32,13.18575689,Walking,chest
290,NVG,13,y,12.38671875,11,5.549328339,Walking,chest
291,HVG,13,y,3.953125,32,14.52734375,Walking,chest
292,NVG,13,z,9.42578125,10,4.75887975,Walking,chest
293,HVG,13,z,3.95703125,29,12.10920508,Walking,chest
294,NVG,13,x,10.14453125,10,4.260819511,Running,chest
295,HVG,13,x,3.962890625,26,9.715307689,Running,chest
296,NVG,13,y,11.203125,148,49.53171585,Running,chest
297,HVG,13,y,3.693359375,155,53.59372327,Running,chest
298,NVG,13,z,7.005859375,12,5.623073604,Running,chest
299,HVG,13,z,3.958984375,21,9.405014739,Running,chest
300,NVG,13,x,13.66601563,9,4.489463053,Climbing Up,chest
301,HVG,13,x,3.951171875,29,13.30052732,Climbing Up,chest
302,NVG,13,y,11.84375,14,4.841840787,Climbing Up,chest
303,HVG,13,y,3.923828125,38,12.917543,Climbing Up,chest
304,NVG,13,z,10.37109375,12,4.924467711,Climbing Up,chest
305,HVG,13,z,3.947265625,37,14.05616141,Climbing Up,chest
306,NVG,13,x,12.65039062,10,4.124839626,Climbing Down,chest
307,HVG,13,x,3.95703125,30,13.49438119,Climbing Down,chest
308,NVG,13,y,13.85742187,12,5.119952041,Climbing Down,chest
309,HVG,13,y,3.951171875,31,12.97491103,Climbing Down,chest
310,NVG,13,z,9.728515625,10,4.868838969,Climbing Down,chest
311,HVG,13,z,3.921875,45,16.28506652,Climbing Down,chest
312,NVG,14,x,11.4375,9,4.177432719,Walking,chest
313,HVG,14,x,3.97265625,20,10.63598179,Walking,chest
314,NVG,14,y,12.26757813,13,4.948267962,Walking,chest
315,HVG,14,y,3.94140625,32,11.25851318,Walking,chest
316,NVG,14,z,9.126953125,11,5.028275446,Walking,chest
317,HVG,14,z,3.947265625,29,12.06539628,Walking,chest
318,NVG,14,x,8.09375,13,5.355209097,Running,chest
319,HVG,14,x,3.9609375,22,9.787907426,Running,chest
320,NVG,14,y,9.4453125,174,56.87850913,Running,chest
321,HVG,14,y,3.6484375,178,60.37690158,Running,chest
322,NVG,14,z,7.458984375,11,5.278859665,Running,chest
323,HVG,14,z,3.962890625,24,9.93653012,Running,chest
324,NVG,14,x,11.96484375,9,4.395571771,Climbing Up,chest
325,HVG,14,x,3.943359375,28,12.46652195,Climbing Up,chest
326,NVG,14,y,12.73828125,13,5.196177374,Climbing Up,chest
327,HVG,14,y,3.958984375,30,12.44855434,Climbing Up,chest
328,NVG,14,z,10.44726563,12,4.97675724,Climbing Up,chest
329,HVG,14,z,3.943359375,33,12.41711342,Climbing Up,chest
330,NVG,14,x,7.75,13,5.363317525,Climbing Down,chest
331,HVG,14,x,3.953125,21,9.903928397,Climbing Down,chest
332,NVG,14,y,9.68359375,58,19.94693533,Climbing Down,chest
333,HVG,14,y,3.87890625,64,23.515604,Climbing Down,chest
334,NVG,14,z,7.89453125,9,4.517753773,Climbing Down,chest
335,HVG,14,z,3.962890625,25,9.085861131,Climbing Down,chest
336,NVG,15,x,13.24023437,11,4.598503941,Walking,chest
337,HVG,15,x,3.935546875,34,13.54522162,Walking,chest
338,NVG,15,y,13.03125,12,4.654480159,Walking,chest
339,HVG,15,y,3.958984375,31,12.38320198,Walking,chest
340,NVG,15,z,9.318359375,12,4.945984543,Walking,chest
341,HVG,15,z,3.931640625,30,10.89794874,Walking,chest
342,NVG,15,x,8.27734375,9,4.772230877,Running,chest
343,HVG,15,x,3.96484375,20,8.672547043,Running,chest
344,NVG,15,y,9.763671875,168,57.06713939,Running,chest
345,HVG,15,y,3.662109375,170,59.4852456,Running,chest
346,NVG,15,z,8.017578125,9,4.65154379,Running,chest
347,HVG,15,z,3.974609375,20,9.290618509,Running,chest
348,NVG,15,x,12.8203125,10,4.504794034,Climbing Up,chest
349,HVG,15,x,3.953125,26,11.65905845,Climbing Up,chest
350,NVG,15,y,13.74414062,11,5.264697122,Climbing Up,chest
351,HVG,15,y,3.947265625,32,13.79635569,Climbing Up,chest
352,NVG,15,z,10.12304688,10,4.766421142,Climbing Up,chest
353,HVG,15,z,3.96875,26,11.59519337,Climbing Up,chest
354,NVG,15,x,11.13085938,11,5.427627459,Climbing Down,chest
355,HVG,15,x,3.951171875,33,13.92662512,Climbing Down,chest
356,NVG,15,y,14.15625,15,5.840334418,Climbing Down,chest
357,HVG,15,y,3.94140625,31,13.58209998,Climbing Down,chest
358,NVG,15,z,8.953125,10,4.69206111,Climbing Down,chest
359,HVG,15,z,3.94140625,32,11.78346469,Climbing Down,chest
